"Dataset_ID","slice","Longitude","Latitude","MAAT_WAPLS","biome"
250,"1000",-108.160375,37.473105,3.37837837837838,3
250,"2000",-108.160375,37.473105,2.78695652173913,3
250,"3000",-108.160375,37.473105,3.08888888888889,3
250,"4000",-108.160375,37.473105,1.78,3
250,"5000",-108.160375,37.473105,2.85,3
250,"6000",-108.160375,37.473105,2.8875,3
250,"7000",-108.160375,37.473105,5.3,3
253,"0",-127.483333,65.016667,-5.5,2
253,"1000",-127.483333,65.016667,-4.6,2
253,"2000",-127.483333,65.016667,-5.12,2
253,"3000",-127.483333,65.016667,-4.975,2
253,"4000",-127.483333,65.016667,-5.38,2
253,"5000",-127.483333,65.016667,-5.94,2
253,"6000",-127.483333,65.016667,-6.11666666666667,2
253,"7000",-127.483333,65.016667,-6.85,2
253,"8000",-127.483333,65.016667,-6.4,2
253,"9000",-127.483333,65.016667,-6.125,2
253,"10000",-127.483333,65.016667,-6.98,2
254,"1000",-77.916667,42.25,7.0625,3
254,"2000",-77.916667,42.25,7.5,3
254,"3000",-77.916667,42.25,6.8,3
254,"4000",-77.916667,42.25,6.66666666666667,3
254,"5000",-77.916667,42.25,6.825,3
254,"6000",-77.916667,42.25,6.45,3
254,"7000",-77.916667,42.25,6.2,3
254,"8000",-77.916667,42.25,6.8,3
254,"10000",-77.916667,42.25,4.6,3
256,"1000",134.566667,43.25,2.3,3
256,"2000",134.566667,43.25,4,3
256,"3000",134.566667,43.25,4.3,3
256,"5000",134.566667,43.25,4.55,3
256,"6000",134.566667,43.25,2.7,3
256,"7000",134.566667,43.25,4.45,3
258,"1000",-76.120278,54.047222,-2.36666666666667,3
258,"2000",-76.120278,54.047222,-3.65,3
258,"3000",-76.120278,54.047222,-2.4,3
258,"4000",-76.120278,54.047222,-2.7,3
258,"5000",-76.120278,54.047222,-3.03333333333333,3
258,"6000",-76.120278,54.047222,-4.1,2
258,"7000",-76.120278,54.047222,-2.45,3
258,"8000",-76.120278,54.047222,-1.575,3
258,"9000",-76.120278,54.047222,-0.266666666666667,3
